歌曲id,曲名,分类,难度标签,定数,类别
8,True Love Song,舞萌,5,5.0,SD
8,True Love Song,舞萌,7,7.2,SD
8,True Love Song,舞萌,10,10.2,SD
8,True Love Song,舞萌,12,12.4,SD
9,Color My World,舞萌,4,4.0,SD
9,Color My World,舞萌,7,7.1,SD
9,Color My World,舞萌,9+,9.8,SD
9,Color My World,舞萌,12,12.4,SD
17,Future,流行&动漫,7,7.0,SD
17,Future,流行&动漫,7+,7.8,SD
17,Future,流行&动漫,9,9.5,SD
17,Future,流行&动漫,10+,10.7,SD
17,Future,流行&动漫,12+,12.7,SD
18,Love You,流行&动漫,6,6.0,SD
18,Love You,流行&动漫,6,6.8,SD
18,Love You,流行&动漫,9+,9.6,SD
18,Love You,流行&动漫,11+,11.7,SD
22,In Chaos,其他游戏,6,6.0,SD
22,In Chaos,其他游戏,7+,7.6,SD
22,In Chaos,其他游戏,9+,9.7,SD
22,In Chaos,其他游戏,12,12.5,SD
22,In Chaos,其他游戏,14+,14.8,SD
23,Crush On You,其他游戏,4,4.0,SD
23,Crush On You,其他游戏,7+,7.6,SD
23,Crush On You,其他游戏,9,9.2,SD
23,Crush On You,其他游戏,11,11.4,SD
23,Crush On You,其他游戏,13+,13.7,SD
24,Sun Dance,其他游戏,4,4.0,SD
24,Sun Dance,其他游戏,7+,7.6,SD
24,Sun Dance,其他游戏,8+,8.9,SD
24,Sun Dance,其他游戏,11,11.3,SD
24,Sun Dance,其他游戏,14,14.0,SD
25,Sweets×Sweets,舞萌,6,6.0,SD
25,Sweets×Sweets,舞萌,7,7.4,SD
25,Sweets×Sweets,舞萌,9,9.3,SD
25,Sweets×Sweets,舞萌,11,11.4,SD
27,Love or Lies,流行&动漫,5,5.0,SD
27,Love or Lies,流行&动漫,6,6.8,SD
27,Love or Lies,流行&动漫,9,9.5,SD
27,Love or Lies,流行&动漫,11+,11.7,SD
30,ネコ日和。,舞萌,6,6.0,SD
30,ネコ日和。,舞萌,7+,7.9,SD
30,ネコ日和。,舞萌,8+,8.8,SD
30,ネコ日和。,舞萌,12+,12.6,SD
31,虹と太陽,舞萌,6,6.0,SD
31,虹と太陽,舞萌,8,8.4,SD
31,虹と太陽,舞萌,11,11.2,SD
31,虹と太陽,舞萌,12+,12.8,SD
35,炭★坑★節,舞萌,5,5.0,SD
35,炭★坑★節,舞萌,7,7.1,SD
35,炭★坑★節,舞萌,10+,10.7,SD
35,炭★坑★節,舞萌,13,13.3,SD
38,NIGHT OF FIRE,流行&动漫,7,7.0,SD
38,NIGHT OF FIRE,流行&动漫,8,8.2,SD
38,NIGHT OF FIRE,流行&动漫,10,10.0,SD
38,NIGHT OF FIRE,流行&动漫,11+,11.7,SD
40,come again,流行&动漫,5,5.0,SD
40,come again,流行&动漫,7,7.2,SD
40,come again,流行&动漫,10,10.2,SD
40,come again,流行&动漫,12,12.4,SD
42,jelly,流行&动漫,5,5.0,SD
42,jelly,流行&动漫,8,8.0,SD
42,jelly,流行&动漫,9,9.3,SD
42,jelly,流行&动漫,12,12.4,SD
44,ハッピーシンセサイザ,niconico & VOCALOID,5,5.0,SD
44,ハッピーシンセサイザ,niconico & VOCALOID,7+,7.6,SD
44,ハッピーシンセサイザ,niconico & VOCALOID,9+,9.6,SD
44,ハッピーシンセサイザ,niconico & VOCALOID,12,12.5,SD
46,ルカルカ★ナイトフィーバー,niconico & VOCALOID,6,6.0,SD
46,ルカルカ★ナイトフィーバー,niconico & VOCALOID,7+,7.6,SD
46,ルカルカ★ナイトフィーバー,niconico & VOCALOID,9,9.3,SD
46,ルカルカ★ナイトフィーバー,niconico & VOCALOID,11+,11.7,SD
47,源平大戦絵巻テーマソング,其他游戏,6,6.0,SD
47,源平大戦絵巻テーマソング,其他游戏,8,8.5,SD
47,源平大戦絵巻テーマソング,其他游戏,10+,10.7,SD
47,源平大戦絵巻テーマソング,其他游戏,12+,12.8,SD
47,源平大戦絵巻テーマソング,其他游戏,14+,14.6,SD
53,美しく燃える森,流行&动漫,6,6.0,SD
53,美しく燃える森,流行&动漫,7,7.2,SD
53,美しく燃える森,流行&动漫,9,9.1,SD
53,美しく燃える森,流行&动漫,10+,10.7,SD
56,ウッーウッーウマウマ(ﾟ∀ﾟ),流行&动漫,6,6.0,SD
56,ウッーウッーウマウマ(ﾟ∀ﾟ),流行&动漫,8,8.3,SD
